"OID_";"UIDENTSTLAE";"ULAND";"UREGBEZ";"UKREIS";"UGEMEINDE";"UJAHR";"UMONAT";"USTUNDE";"UWOCHENTAG";"UKATEGORIE";"UART";"UTYP1";"ULICHTVERH";"IstStrassenzustand";"IstRad";"IstPKW";"IstFuss";"IstKrad";"IstGkfz";"IstSonstige";"LINREFX";"LINREFY";"XGCSWGS84";"YGCSWGS84";"PLST"
204701;8,23E+018;8;2;12;0;2023;4;7;3;3;6;3;0;1;1;0;1;0;0;0;453813.9843;5425686.1296;8.36876890400004;48.982354038;1
205050;8,23E+018;8;2;12;0;2023;4;7;3;3;5;3;0;0;1;1;0;0;0;0;457339.1388;5429310.9247;8.41656427800007;49.0152131530001;1
204279;8,23E+018;8;2;12;0;2023;4;10;3;3;5;3;0;1;1;1;0;0;0;0;457346.0612;5428571.9274;8.41673660500004;49.0085662540001;1
204510;8,23E+018;8;2;12;0;2023;4;12;3;3;5;3;0;0;1;1;0;0;0;0;458409.7578;5431215.2566;8.43101018100003;49.032415977;1
204280;8,23E+018;8;2;12;0;2023;4;17;3;3;5;2;0;0;1;0;0;0;0;1;454792.7689;5428237.67;8.38186136900004;49.0053778180001;1
204697;8,23E+018;8;2;12;0;2023;4;18;3;3;0;7;0;0;1;0;0;0;0;0;456033.8848;5424019.7874;8.39928695400005;48.967527026;1
204698;8,23E+018;8;2;12;0;2023;4;20;3;3;0;1;2;0;1;0;0;0;0;0;455788.5355;5428742.0365;8.39542120100003;49.0099867820001;1
87930;8,23E+018;8;2;12;0;2023;4;14;4;3;2;6;0;0;1;0;0;0;0;0;449200.5459;5431781.602;8.30495820500005;49.036820253;1
87933;8,23E+018;8;2;12;0;2023;4;15;4;3;5;2;0;0;1;1;0;0;0;0;455671.6391;5427565.8921;8.39395117100003;48.9993988530001;1
87581;8,23E+018;8;2;12;0;2023;4;20;4;3;5;3;2;0;1;1;0;0;0;0;452997.2368;5430348.3855;8.35706737900006;49.0242296280001;1
265645;8,23E+018;8;2;12;0;2023;4;10;5;3;6;7;0;0;1;0;1;0;0;0;453101.23412716;5428687.78642958;8.35868175300004;49.0093004120001;2
204441;8,23E+018;8;2;12;0;2023;4;11;5;2;0;7;0;0;1;0;0;0;0;0;457404.096;5427549.97;8.41763735100005;48.999377608;1
204207;8,23E+018;8;2;12;0;2023;4;14;5;3;6;7;0;0;1;0;1;0;0;0;455464.4272;5432957.8781;8.39052636100007;49.0478852320001;1
206247;8,23E+018;8;2;12;0;2023;4;10;6;3;2;2;0;1;1;1;0;0;0;0;457837.746;5428680.572;8.42344841500005;49.009577317;1
204404;8,23E+018;8;2;12;0;2023;4;10;6;3;5;3;0;0;1;1;0;0;0;0;452917.2815;5428320.2973;8.35620907300006;49.005980827;1
204605;8,23E+018;8;2;12;0;2023;4;11;6;3;5;2;0;0;1;1;0;0;0;0;456585.0591;5426832.5628;8.40651693500007;48.9928673700001;1
204773;8,23E+018;8;2;12;0;2023;4;14;6;3;0;1;0;1;1;0;0;0;0;0;454466.497;5431677.421;8.37701431100004;49.036294571;1
204402;8,23E+018;8;2;12;0;2023;4;15;6;3;0;7;0;0;1;0;0;0;0;0;459810.154;5433010.655;8.44998979200005;49.0486587040001;1
204606;8,23E+018;8;2;12;0;2023;4;16;6;3;5;2;0;0;1;1;0;0;0;0;453547.4355;5429833.4939;8.36465180800008;49.0196398470001;1
204405;8,23E+018;8;2;12;0;2023;4;17;6;3;5;3;0;1;1;1;0;0;0;0;457671.7651;5429098.4928;8.42113523300003;49.0133252100001;1
204942;8,23E+018;8;2;12;0;2023;4;9;7;3;5;2;0;1;1;0;0;0;0;1;451456.8428;5427833.7525;8.33629914300008;49.00149121;1
204354;8,23E+018;8;2;12;0;2023;4;14;7;3;1;5;0;0;1;1;0;0;0;0;455738.4948;5428373.4201;8.39477713800005;49.006667453;1
206210;8,23E+018;8;2;12;0;2023;4;20;7;3;2;2;0;0;1;1;0;0;0;0;453266.796;5428907.863;8.36092024800007;49.0112925710001;1
205824;8,23E+018;8;2;12;0;2023;5;10;1;2;0;7;0;0;1;0;0;0;0;0;451307.874;5428376.954;8.33419739200002;49.0063655750001;1
207126;8,23E+018;8;2;12;0;2023;5;14;1;2;0;7;0;0;1;0;0;0;0;0;456774.1437;5427789.1601;8.40899978900006;49.0014853650001;1
205827;8,23E+018;8;2;12;0;2023;5;14;1;3;5;3;0;0;1;1;0;0;0;0;456533.7002;5427710.3435;8.40572097500007;49.000759515;1
86033;8,23E+018;8;2;12;0;2023;5;15;1;3;0;3;0;0;1;1;0;0;0;0;460859.3172;5425416.6266;8.46507966500008;48.980416426;1
205573;8,23E+018;8;2;12;0;2023;5;16;1;3;6;7;0;0;1;0;1;0;0;0;455704.7781;5428540.3932;8.39429791200007;49.0081669740001;1
88055;8,23E+018;8;2;12;0;2023;5;7;2;3;5;3;0;0;1;0;0;0;0;1;455146.1279;5428124.0586;8.38670526300007;49.004381654;1
205317;8,23E+018;8;2;12;0;2023;5;9;2;3;1;7;0;0;1;1;0;0;0;0;456751.5702;5429027.3567;8.40855927400003;49.0126215180001;1
87810;8,23E+018;8;2;12;0;2023;5;11;2;3;5;3;0;0;1;1;0;0;0;0;460738.17;5425576.75;8.46340860700008;48.9818490880001;1
205543;8,23E+018;8;2;12;0;2023;5;13;2;3;0;7;0;0;1;0;0;0;0;0;454850.0482;5428133.4746;8.38265611200006;49.004444764;1
85993;8,23E+018;8;2;12;0;2023;5;14;2;3;0;1;0;1;1;0;0;0;0;0;454313.3537;5428262.4593;8.37530372700007;49.005565496;1
205546;8,23E+018;8;2;12;0;2023;5;15;2;3;5;3;0;0;1;1;0;0;0;0;456342.316;5427704.3765;8.40310512500003;49.0006923350001;1
205318;8,23E+018;8;2;12;0;2023;5;16;2;3;1;1;0;0;1;1;0;0;0;0;462768.5509;5428942.698;8.49084814000003;49.0122524060001;1
205319;8,23E+018;8;2;12;0;2023;5;16;2;3;5;2;0;0;1;1;0;0;0;0;457433.9609;5429500.5888;8.41784111300007;49.016925755;1
265751;8,23E+018;8;2;12;0;2023;5;17;2;2;5;3;0;0;1;1;0;0;0;0;453973.643346242;5432909.98384412;8.37013155100004;49.047344884;2
205936;8,23E+018;8;2;12;0;2023;5;17;2;3;6;6;0;0;1;0;1;0;0;0;455700.427;5428535.9765;8.39423890000006;49.008126933;1
205321;8,23E+018;8;2;12;0;2023;5;19;2;3;1;5;0;0;1;0;0;0;0;0;460457.198;5427224.44;8.45940841800007;48.9966525190001;1
265706;8,23E+018;8;2;12;0;2023;5;20;2;3;0;6;1;1;1;0;0;0;0;0;458604.39602492;5430021.9813932;8.43379466300007;49.0216954050001;2
205798;8,23E+018;8;2;12;0;2023;5;23;2;3;0;1;2;0;1;0;0;0;0;0;455816.7963;5428379.9901;8.39584704000004;49.0067321610001;1
205757;8,23E+018;8;2;12;0;2023;5;8;3;3;4;6;0;1;1;0;0;0;0;0;456601.748;5428441.426;8.40657314900005;49.0073404830001;1
88797;8,23E+018;8;2;12;0;2023;5;10;3;3;5;2;0;0;1;1;0;0;0;0;452987.85;5428939.079;8.35710227800007;49.0115521700001;1
206117;8,23E+018;8;2;12;0;2023;5;13;3;3;3;6;0;0;1;1;0;0;0;0;463162.7236;5428173.0158;8.49630820000004;49.0053525770001;1
205273;8,23E+018;8;2;12;0;2023;5;16;3;3;1;5;0;0;1;1;0;0;0;0;457366.4869;5428555.8423;8.41701758600004;49.0084229780001;1
205513;8,23E+018;8;2;12;0;2023;5;18;3;2;5;2;0;0;1;1;0;0;0;0;457839.162;5428891.639;8.42344585500007;49.011475992;1
89264;8,23E+018;8;2;12;0;2023;5;20;3;3;5;3;0;0;1;1;0;0;0;0;454040.609;5428255.171;8.37157541200003;49.0054796870001;1
205758;8,23E+018;8;2;12;0;2023;5;22;3;3;0;7;2;1;1;0;0;0;0;0;457262.7132;5429887.5243;8.41545839600008;49.0203944460001;1
205720;8,23E+018;8;2;12;0;2023;5;6;4;3;5;3;0;1;1;1;0;0;0;0;454640.3696;5432303.6471;8.37932298600003;49.041940309;1
85911;8,23E+018;8;2;12;0;2023;5;6;4;3;2;6;0;0;1;0;0;0;0;1;455712.0138;5428161.3336;8.39443819700006;49.004757813;1
205221;8,23E+018;8;2;12;0;2023;5;7;4;3;5;3;0;0;1;1;0;0;0;0;463905.1907;5428128.5008;8.50646382800005;49.0049960220001;1
265677;8,23E+018;8;2;12;0;2023;5;7;4;3;4;6;0;0;1;0;0;0;0;0;456471.180830623;5429178.53094594;8.40470883200004;49.01396163;2
205480;8,23E+018;8;2;12;0;2023;5;8;4;3;6;7;0;0;1;0;1;0;0;0;455761.4717;5428733.2123;8.39505209500004;49.0099054680001;1
206999;8,23E+018;8;2;12;0;2023;5;9;4;3;6;7;0;0;1;0;1;0;0;0;460752.3905;5427654.8671;8.46340223300007;49.0005431440001;1
86757;8,23E+018;8;2;12;0;2023;5;10;4;3;1;5;0;0;1;1;0;0;0;0;455178.7033;5428428.1761;8.38711707400006;49.007119586;1
206186;8,23E+018;8;2;12;0;2023;5;13;4;3;3;6;0;0;1;0;0;0;0;0;455652.0808;5428491.1745;8.39358273700003;49.0077204620001;1
205218;8,23E+018;8;2;12;0;2023;5;14;4;3;5;3;0;0;1;1;0;0;0;0;458947.6097;5431541.6468;8.43833502700005;49.0353879450001;1
86516;8,23E+018;8;2;12;0;2023;5;15;4;3;6;7;0;0;1;0;1;0;0;0;453994.4657;5426665.2728;8.37112458600006;48.9911749930001;1
88727;8,23E+018;8;2;12;0;2023;5;16;4;2;5;3;0;0;1;1;0;0;0;0;458107.2344;5427629.6555;8.42724179200008;49.000142511;1
206998;8,23E+018;8;2;12;0;2023;5;17;4;3;0;7;0;0;1;0;0;0;0;0;455786.3402;5426417.8123;8.39564419000004;48.9890799580001;1
206059;8,23E+018;8;2;12;0;2023;5;18;4;3;5;3;0;0;1;1;0;0;0;0;454605.8327;5428517.9518;8.37927412600004;49.007885253;1
205721;8,23E+018;8;2;12;0;2023;5;18;4;3;6;4;0;0;1;0;1;0;0;0;457245.2508;5428152.7579;8.41540230800007;49.0047887910001;1
206057;8,23E+018;8;2;12;0;2023;5;18;4;3;0;7;0;0;1;0;0;0;0;0;453906.7523;5429465.3327;8.36960782100005;49.0163551750001;1
86450;8,23E+018;8;2;12;0;2023;5;7;5;3;2;2;0;0;1;1;0;0;0;0;455671.9394;5427569.7457;8.39395485500006;48.9994335380001;1
207296;8,23E+018;8;2;12;0;2023;5;8;5;2;3;2;0;0;1;1;0;0;0;0;460848.5155;5425410.6565;8.46493262400003;48.9803620390001;1
206004;8,23E+018;8;2;12;0;2023;5;9;5;3;5;2;0;0;1;0;0;0;0;1;456729.0486;5428852.0219;8.40826999100005;49.0110427820001;1
